title,company,category,status,min_edu,min_exp,description,urlJob,urlImg
host live streaming,RATU PERTIWI GROUP,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan host live streaming RATU PERTIWI GROUPDeskripsi Lowongan:Melakukan live streaming secara rutin di sosial mediaTerbiasa live di depan kamera, proaktif berbicara dengan viewersMampu berimprovisasi sesuai situasi dan bertanggung jawab menjaga suasana live streamingKualifikasi:Usia 18 - 28 tahunProfesional dan percaya diriPendidikan min. SMA/D3/SarjanaMampu berbahasa Inggris menjadi nilai plusKomunikatif, aktif, atraktif & percaya diri untuk tampil di depan kameraMemiliki bakat seperti: menyanyi/dance/memainkan games/ASMR/Cosplay, dsb lebih diutamakanPernah melakukan live streaming di Aplikasi khusus live lebih diutamakanDomisili JABODETABEK  Benefit : Gaji pokok (Up to 12 Jt/bln)| BPJS | Makan siang & snack | MessLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-live-streaming/66b3ca20-43ab-4017-b455-e16694095da7?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e9efe43d9d818087f12e66d8504dcb95.png
CURA Sales and Media Marketing Executive,CURA MEDIKA,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),3 - 5 tahun pengalaman,"Deskripsi pekerjaan CURA Sales and Media Marketing Executive CURA MEDIKACURA Sales and Media Marketing ExecutiveJob Description:•⁠  ⁠Create marketing and social media daily planning •⁠  ⁠Responsible for managing day-to-day content on social media (Instagram) - planning, creating, copywriting, posting•⁠  ⁠Analyse content and social media strategy, gather insight for brands, work on brand report•⁠  ⁠Involved in the production of photo and video shoots for daily content•⁠  ⁠Manage creative merchandise design for marketing purposes  •⁠  ⁠Scout events and delegate event preparation with the other team •⁠  ⁠⁠Strategize sales and marketing promotion (online and offline)•  Experience working in healthcare marketingRequirements:•⁠  ⁠Based in Bogor, working offline in the clinic •⁠  ⁠Female, majoring in relevant background, 20-30 years old•⁠  ⁠3-5 years of experience in the marketing industry•⁠  ⁠Moderate photo and video editing skills using common software such as Photoshop, Illustrator, Capcut, Inshot, or other relevant applications•⁠  ⁠⁠Knowledgeable in social media strategies & trends (SEO/M, ads)•⁠  ⁠Detailed, creative, visionary, proactive, and communicative •⁠  ⁠Proficient in English (passive or active)Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/cura-sales-and-media-marketing-executive/7ba71db6-d021-46e9-80a6-bda79e5c7fab?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,images/default-company-logo.webp
Digital Marketing,PT. Istech Utama,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan Digital Marketing PT. Istech UtamaDeksripsi Pekerjaan:Mengembangkan dan melaksanakan kampanye pemasaran digital (termasuk SEO, Google Ads, iklan media sosial) untuk produk panel listrik.Menganalisis performa kampanye dan mengoptimalkan strategi pemasaran untuk hasil yang lebih baik.Membuat dan mengelola konten untuk berbagai saluran pemasaran online (website, media sosial, blog, dan email marketing).Berkolaborasi dengan tim sales dan produk untuk memahami kebutuhan pasar dan menyusun pesan yang tepat.Melakukan riset pasar dan memantau tren industri untuk meningkatkan daya saing.Melakukan analisis data dan memberikan laporan kinerja kampanye.Kualifikasi:Pendidikan minimal SMK/D3 di bidang Pemasaran, Komunikasi, atau bidang terkait.Pengalaman minimal 2 tahun sebagai Digital Marketer, lebih diutamakan yang memiliki pengalaman di sektor B2B atau produk industri.Kemampuan dalam SEO, Google Ads, Facebook Ads, dan pemasaran melalui media sosial (Instagram, LinkedIn, YouTube).Pengalaman dalam membuat konten dan mengelola kampanye email marketing.Kemampuan analisis data yang baik dan memahami alat analitik seperti Google Analytics.Kreatif, berorientasi pada hasil, dan mampu bekerja secara mandiri maupun dalam tim.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/digital-marketing/feb06e83-a702-4161-a339-e82923b9c20c?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/274718d76351c5a1364bd17345fb46cd.jpg
Marketing Officer,Widya Wicara,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Marketing Officer Widya WicaraKami sedang membuka peluang kerja sebagai Marketing Officer. Kami membutuhkan kandidat kandidat adaptif yang mau belajar dan memberikan yang terbaik untuk perusahaan kami. Apa yang akan kamu dapatkan ketika bergabung dengan kami? 1.) Lingkungan kerja yang fun & friendly. 2.) Pekerjaan yang mendukung kamu untuk selalu berkembang.Kualifikasi Marketing Officer :1. Pendidikan minimal S1 semua jurusan.2. Mudah beradaptasi dan memiliki skill public speaking yang baik.3. Mampu membuat artikel untuk branding perusahaan.4. Memiliki pengalaman handle event expo skala kecil dan besar.5. Memiliki pengalaman handle webinar online.6. Mampu merancang event untuk menunjang penjualan & branding perusahaan.7. Mampu membuat budgeting event dengan se efektif mungkin.8. Dapat join sesegera mungkin.Jobdesc Marketing Officer :1. Membuat artikel perusahaan.2. Membuat brief desain poster, brosur, flyer, booklet kebutuhan event marketing.3. Market research product.4. Membuat TOR event marketing.5. Melakukan pameran ke berbagai daerah. Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing-officer/1e41beea-b827-4ade-9a7e-27c9d91cefc7?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d08b4178358daf2f8a7c4c3efee70817.png
Leasing Officer,Ciputra Group - Cakradigdaya Lokaraya,Marketing,Kontrak · Kerja di kantor,Minimal Sarjana (S1),1 - 3 tahun pengalaman,Deskripsi pekerjaan Leasing Officer Ciputra Group - Cakradigdaya LokarayaMencari prospect Tenant untuk area commercialMelakukan filter dan pemilihan calon tenant sesuai dengan kebutuhan dan masterplan masing-masing lokasi CommercialBerkoordinasi dengan calon penyewa dalam proses negosiasi penyewaanMelakukan site visit calon tenant potensialMonitoring masa berlaku kontrak penyewa (tenant)Menyampaikan Letter of Offer (Surat Penawaran) dan Letter of Intent (Surat Komitmen)Berkoordinasi secara internal dalam hal proses penyewaan Tenant dllLihat Lebih Sedikit,https://glints.com/id/opportunities/jobs/leasing-officer/b8e45f4b-1def-4b3d-983f-405f46dd8be3?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/89c1169123e9c9e70f3cf04e5aeda0c2.png
Live Streamer Freelance,Una Brands,Marketing,Freelance · Kerja di kantor,Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Live Streamer Freelance Una BrandsAbout Jiera:Jiera is a local brand that has grown rapidly in its 3 years of development. Jiera is a brand that focuses on lip care and is the Top 1 best-selling product for the Lip Serum product category. Now Jiera is supported by VC-unicorn UNA Brands, which can develop much faster and grow faster.About Una:Founded by e-commerce experts, Una Brands is on a mission to build a next-generation consumer goods conglomerate focused on Asia Pacific. We acquire, operate and scale businesses with a proven track-record and category-winning brands. We are backed by top-tier institutional investors and business angels to support us on our mission. Being a part of the Una Team means you will get the chance to work alongside a highly entrepreneurial, exceptional, and experienced team, who have worked at companies like McKinsey, Goldman Sachs, Lazada, Shopee, Amazon, and Ninja Van. We are growing rapidly and are keen to find top talent to build this company with. Join us today! We have raised >$100M in our funding rounds so far.Your Role :Sebagai host dalam kegiatan live marketplaceMempromosikan dan menjelaskan produk terhadap konsumenMenjawab pertanyaan dari konsumenYour Profile :Percaya diri di depan kameraGood looking, energik, ceria, dan interaktifMemiliki kemampuan public speakingAktif menggunakan social media (Instagram dan TikTok)Dapat bekerja setiap hari campaign (Double date & Pay Day) secara on site (office - Lubang Buaya, Jakarta Timur)Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/live-streamer-freelance/9103c17a-9dfc-4687-9b52-6566cbf1a929?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5a06641e04b96e3622557f70562f6157.jfif
Brand Development,PT. FORMASI KREASI INDONESIA,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),Pengalaman kurang dari 1 tahun,Deskripsi pekerjaan Brand Development PT. FORMASI KREASI INDONESIAJob Descriptions•	Mengembangkan rencana merek dan strategi pemasaran yang efektif dan inovatif untuk membangun merek yang kuat•	Menciptakan pesan merek yang akan meningkatkan penjualan •	Mengembangkan strategi merek untuk meningkatkan citra merek•	Mengelola agensi dan klien eksternal untuk meningkatkan penjualan pasar•	Bekerja sama erat dengan tim berbeda di perusahaan untuk memastikan konsistensi merek•	Meningkatkan Brand ValueJob Requirements•	Pendidikan minimal S-1•	Pengalaman minimal 1 tahun di bidang yang sama (E-Commerce)•	Fresh Graduates are welcome•	Kemampuan komunikasi verbal dan tertulis yang sangat baik•	Kemampuan riset dan analisis yang kuat•	Mengikuti perkembangan terbaru dalam tren dan perilaku konsumen•	Sehat secara jasmani dan rohaniLihat Lebih Sedikit,https://glints.com/id/opportunities/jobs/brand-development/c611c0dc-8149-4fb0-9180-dc35924f56e0?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8eff5f976de0cb763e90a5236f5ea42b.jpeg
Asisten Manager Digital Marketing,PT Sapta Jayasejati Indonesia,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Asisten Manager Digital Marketing PT Sapta Jayasejati IndonesiaThe Assistant Manager - Digital Marketing will support the digital marketing team in implementing, optimizing, and managing digital marketing campaigns to drive brand visibility, lead generation, and business growth. The role involves assisting in strategy development, execution, performance analysis, and reporting of digital campaigns across multiple online channels such as social media, paid advertising, SEO, email marketing, and content marketing.Job DescriptionDigital Marketing Campaign Management :Assist in the planning, execution, and optimization of digital marketing campaigns across channels such as Google Ads, social media platforms (Facebook, Instagram, LinkedIn, TikTok), and email.Coordinate with internal teams and external agencies to ensure campaigns run smoothly and achieve KPIs (Key Performance Indicators).Monitor, analyze, and report on campaign performance, providing insights and recommendations for improvement.Social Media Management:Develop and schedule engaging social media content that aligns with the brand’s goals and resonates with the target audience.Monitor social media trends, analyze competitors, and recommend content strategies to enhance engagement and brand awareness.Interact with followers and manage customer feedback or inquiries on social media platformsSEO and SEM Strategy:Assist in the implementation of SEO strategies to improve organic search rankings, including keyword research, on-page optimization, and content development.Support in managing paid search campaigns (Google Ads, Bing Ads), analyzing performance metrics, and optimizing ads to maximize ROI.Email Marketing:Plan and execute email marketing campaigns, including newsletters, promotional emails, and lead nurturing sequences.Segment email lists to target the right audience, and track email performance to improve open rates, click-through rates, and conversions.Content Strategy and Creation:Collaborate with the content team to create and distribute high-quality digital content (blog posts, videos, infographics) to support digital campaigns and SEO.Ensure content is consistent with brand messaging and optimized for SEO and social sharing.Market Research and Trend Analysis:Stay updated with digital marketing trends, emerging technologies, and competitor activity.Conduct market research and consumer behavior analysis to refine strategies and improve engagement.Job RequirementsEducation: Bachelor’s degree in Marketing, Communications, or related field (Master’s degree preferred).Experience: Minimum 2-3 years of experience in digital marketing, with a focus on campaign management, SEO, SEM, and social media.Analytical Skills: Ability to analyze data and generate insights to optimize campaigns.Communication: Strong written and verbal communication skills.Creativity & Problem-Solving: Ability to think creatively and solve marketing challenges.Technical Skills: Proficiency in digital marketing tools like Google Ads, Google Analytics, Facebook Ads Manager, email marketing platforms (Mailchimp, etc.), and SEO tools (SEMrush, Ahrefs).Strong knowledge of SEO and SEM best practices.Understanding of content marketing strategies and social media platforms.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/asisten-manager-digital-marketing/112c4984-b4eb-40d8-8c85-a03c2c88e68d?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9ebf25007a72c7feb1c9f021431806a2.jpg
RELATION OFFICER,PT Green Energi Utama,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,Deskripsi pekerjaan RELATION OFFICER PT Green Energi Utama- Melakukan kunjungan lapangan secara rutin dan efisien sebanyak mungkin untuk bernegosiasi dengan tujuan akuisisi UCO- Melakukan pendekatan kepada potensial (POO)- Mengumpulkan informasi tentang POO- Membuat dokumentasi dan laporan- mencapai target akuisisi- membangun dan menjaga hubungan yang baik dengan potensial POOLihat Lebih Sedikit,https://glints.com/id/opportunities/jobs/relation-officer/df9230b6-c2b3-4cf8-890e-5455528894e2?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/326f48dfe3b732a22768ce0c9015f89e.jpg
Host Live Streaming,Nala Jewellery,Marketing,Penuh Waktu · Remote/Dari rumah,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan Host Live Streaming Nala JewelleryHOST LIVEWork From Home (19:00-00:00)• perempuan max usia 28th• tertarik di bidang jewellery• jujur, talkative, kreatif & komunikatif• WFH (ke kantor 1 bulan (jakarta barat max 2x aja)• jam kerja minggu - jumat• freshgrad are welcomeLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-live-streaming/3de18048-3cc0-4daa-8809-b880f3b53a76?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6ede77d6a28c0ed9ff157f2c19baf4c0.png
Marketing,PT Xerography Indonesia,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan Marketing PT Xerography IndonesiaKualifikasiPerempuanUsia min. 20 tahun max 30 tahunPendidikan Min Diploma IIIFresh Graduate/berpengalaman dipersilahkan melamar.Menguasai MS. Excel dan Adobe IlluslatorBerpenampilan menarik dan dapat berkomunikasi dengan baikDapat mengendarai dan mempunyai kendaraan bermotorJob DeskMengurus Order Antara store dengan brand yang bekerja samaMengkurasi brand brand yang bisa diajak bekerja samaMengatur dan membuat kontrak antara store dan brandBertanggung jawab terhadap penjualan dan target store.

Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing/ef557a1b-4ad4-4fac-85b1-d516724d0ec4?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/86f548573510251f52a0cab146f66f41.jpg
Community Engagement Officer,noovoleum,Marketing,Penuh Waktu · Kerja di kantor,Minimal Sarjana (S1),1 - 3 tahun pengalaman,"Deskripsi pekerjaan Community Engagement Officer noovoleumJob Description:As the Community Engagement Officer, you'll be the mastermind behind building and thriving noovoleum communities. Your efforts will directly contribute to our mission of promoting environmental sustainability, getting new app users and used cooking oil volume.Key Responsibilities:Act as a passionate and knowledgeable advocate for our company within your community.Initiate and lead engaging discussions to educate individuals about the benefits of recycling used cooking oil.Foster meaningful relationships with community members, local organizations, and influencers to promote noovoleum's mission.Provide hands-on assistance and support to users, ensuring they have a seamless experience and can fully maximize their recycling efforts.Collaborate with local businesses, schools, and community centres to establish partnerships.Organize and participate in promotional events, workshops, and campaigns to drive awareness and adoption of our solutions.Gather feedback, suggestions, and insights from the community to help improve the UCOllect app and user experience.Requirements:Proven experience in Community Engagement and Event Organization with a track record of driving results.Strong communication and negotiation skills.Excellent self-discipline, especially in managing your own time whether you're working remotely or in the office.Problem-solving mindset and high initiatives.Passion for sustainability and environmental responsibility.Ability to thrive in a dynamic and fast-paced work environment.Previous experience in waste management or biofuel industry is a plus!Ability to be mobile and to travel for work (ideally own a motorcycle).Ability to be placed anywhere based on company needs, including areas such as Bali, Bojonegoro, Tangerang, Jakarta, Balikpapan and Surabaya.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/community-engagement-officer/c10aae24-1480-49e6-a6d6-31f6ed1282b2?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3267ac6626745bb73677c37614e0da8e.jpeg
MARKETING PRODUK,PT. Super Big Oke ( GO-DAY BOGOR),Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan MARKETING PRODUK PT. Super Big Oke ( GO-DAY BOGOR)Kualifikasi:• Domisili ""BOGOR""• Usia Max 35th• Pengalaman Kerja: Minimal 2-3 tahun di bidang pemasaran, terutama dalam pemasaran produk konsumen (lebih diutamakan yang berpengalaman dalam pembuatan EVENT).• Kemampuan Strategis: Memiliki pengalaman dalam merancang dan mengimplementasikan strategi pemasaran untuk meningkatkan penjualan dan brand awareness.• Kemampuan Analisis: Terampil dalam menganalisis pasar, tren konsumen, dan kompetitor untuk menentukan arah pemasaran yang efektif.• Komunikasi yang Baik: Mampu berkomunikasi dengan jelas dan persuasif baik secara lisan maupun tulisan, dengan kemampuan presentasi yang baik.• Kemampuan Digital Marketing: Pengalaman dalam menggunakan platform digital (seperti media sosial, email marketing, dan iklan online) untuk memasarkan produk.• Berorientasi pada Hasil: Mampu bekerja dengan target penjualan dan KPI yang telah ditetapkan, serta memiliki track record yang terbukti dalam mencapai hasil yang ditargetkan.• Kreatif dan Inovatif: Mampu berpikir kreatif untuk mengembangkan kampanye pemasaran yang menarik dan dapat menyesuaikan dengan perubahan pasar.• Keterampilan Interpersonal: Mampu bekerja secara tim maupun individu, serta memiliki kemampuan untuk menjalin hubungan baik dengan klien dan mitra bisnis. Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing-produk/4780bc6a-279c-4918-8891-cf21b4f63a0d?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/de41219aecef22f15b1d85430e167fa4.png
Marketing Manager,PT. NUSANTARA TERANG ABADI,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),5 - 10 tahun pengalaman,"Deskripsi pekerjaan Marketing Manager PT. NUSANTARA TERANG ABADIJob Desc :1. Lead and manage the marketing team to develop and execute effective strategies aligned with business goals2. Develop and execute marketing plans, strategies and tactics to meet company objectives3. Conduct market research to understand customer needs, competitive positioning, and industry trends4. Analyzing the effectiveness of marketing strategies and tactics and making adjustment as needed5. Prepare and manage budget6. Ensure consistent branding across all channels and marketing effortsQualification:1. 5+ years marketing experience, preferably in Electronic Home Appliance2. Excellent branding knowledge with additional employee branding3. Proven experience in Traditional and Digital Marketing4. Excellent influencing skill, diligent listening skill and superior written and verbal communication skill5. Strategic thinking and problem-solving skills, with a focus on innovation and continuous improvement Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing-manager/d733a514-53b1-47ea-b5c5-ad86e34fffa1?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/4c0bd7ac249deb2ab14909d16847811f.jpg
Host Live Streaming,PT Chuchu Teknologi Indonesia,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,Pengalaman kurang dari 1 tahun,"Deskripsi pekerjaan Host Live Streaming PT Chuchu Teknologi IndonesiaJob Descriptions :Memasarkan produk di online shop melalui live streaming Tiktok Shop, dan market placeMeningkatkan jumlah viewers dan pembeli melalui live streamingMemiliki jiwa team work yang baikMemasarkan produk di online shop melalui live TikTok ShopMenjadi model untuk pembuatan video pendek produk & take contentMengatur strategi promosi untuk meningkatkan jumlah pembelian produk melalui live streaming VideoJob Requirements  :Wanita, usia maksimal 30 tahunDiutamakan yang sudah memiliki pengalaman di bidang live streaming, nilai plus jika pernah menjadi sales dan customer serviceBerkepribadian baik dan mau belajar dengan cepatBisa memakai bulumata/eyelash & softlens serta produk kecantikan mata lainnya dan bisa memakai make up lebih diutamakanHobi Make upBersedia ditempatkan di daerah Gedong Panjang, Tambora, Jakarta BaratSiap bekerja dengan sistem shift dan shift malamSiap bergabung ASAP (Secepatnya) Benefit :THRBonus KomisiBonus TargetBonus Shift Gaji Total bisa mencapai 2 digit (sudah termasuk bonus) jika kinerja bagusLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/host-live-streaming/1558ab3a-05c2-46d1-8fe6-8361df1c1036?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f93f1bf80bc7da007eb09590284e1281.png
Marketing,Inspirasee,Marketing,Penuh Waktu · Kerja di kantor,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan Marketing Inspirasee• Jabatan : Marketing Bunga/Tanaman• Gaji pokok : 2.300.000• Bonus & Gaji akan mengalami peningkatan seiring dengan kinerja, dievaluasi setiap 4 bulan.  Bonus perbulan kalau mencapai target KPI.• Deskripsi Pekerjaan : Melakukan kegiatan promosi penjualan melalui social media marketing secara efektif sehingga membantu peningkatan penjualan. Secara spesifik:1.  Mengelola dan meningkatkan volume penjualan produk2. Mengembangkan strategi untuk mencapai pertumbuhan penjualan positif3. Merancang dan menjalankan program promosi, memastikan penyelesaian program tepat waktuKPI Jabatan1. Volume penjualan2. Pertumbuhan sales dibanding tahun lalu3. Tingkat penyelesaian program promosi pemasaran dibandingkan rencana4. Tingkat penyelesaian materi promosi pemasaran5. Tingkat penyelesaian kegiatan survey pemasaran• Jam Kerja : 08.00 - 17.00 • Alamat Lengkap Penempatan : Jl. Monumen Emmy Saelan 109, Karunrung, Kec. Rappocini, Makassar, Sulawesi Selatan,Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing/5a5d8291-5da1-4cb9-8948-ecdc5bf05342?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/96d924042e386de66ccdd4d6eb76c65a.jpg
Marketing Manager,PT HIMAWARI MAKMUR ABADI,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),5 - 10 tahun pengalaman,"Deskripsi pekerjaan Marketing Manager PT HIMAWARI MAKMUR ABADIJob Desc :1. Lead and manage the marketing team to develop and execute effective strategies aligned with business goals2. Develop and execute marketing plans, strategies and tactics to meet company objectives3. Conduct market research to understand customer needs, competitive positioning, and industry trends4. Analyzing the effectiveness of marketing strategies and tactics and making adjustment as needed5. Prepare and manage budget6. Ensure consistent branding across all channels and marketing effortsQualification:1. 5+ years marketing experience, preferably in Electronic Home Appliance2. Excellent branding knowledge with additional employee branding3. Proven experience in Traditional and Digital Marketing4. Excellent influencing skill, diligent listening skill and superior written and verbal communication skill5. Strategic thinking and problem-solving skills, with a focus on innovation and continuous improvement Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/marketing-manager/0e7a66e9-3ed3-4a83-b5c4-0257b322aff9?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d3d36276af845b3d8d96581f9966a655.jpeg
KOL Specialist,PT. Bintang Kencana Anugrah,Marketing,Penuh Waktu · Kerja di kantor,Minimal Diploma (D1 - D4),1 - 3 tahun pengalaman,"Deskripsi pekerjaan KOL Specialist PT. Bintang Kencana AnugrahRequirement :•	Pendidikan minimal SMA/SMK•	Memiliki kemampuan MS Office•	Memiliki kemampuan dan pengetahuan tentang ads•	Memiliki kemampuan komunikasi interpersonal yang baik•	Memiliki pengalaman dibidangnya *lebih diutamakan•	Mampu bekerja dibawah tekanan, merupakan pribadi yang aktif , jujur, cekatan dan ceria•	Domisili MalangJob Descriptions :•	Mencari, mendata, menghandle serta menjaga hubungan baik dengan para Affiliator•	Melakukan training dengan sistem affiliate kepada Affiliator•	Melakukan follow up terkait progress project yang berlangsungLihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/kol-specialist/b4692a61-ed78-486a-868c-d41990a8a4e3?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/5fb52d4d26ebd0881f6f334749a6ab2b.jpeg
Creative Content Creator,Caselify,Marketing,Penuh Waktu · Hybrid,Minimal SMA/SMK,1 - 3 tahun pengalaman,"Deskripsi pekerjaan Creative Content Creator CaselifyIni merupakan Job Hybrid (bisa WFO / WFH)

Deskripsi Tugas:1. Membuat konten kreatif dan menarik untuk berbagai platform, termasuk instagram, youtube, tiktok, dan lainnya.2. Melakukan pengambilan gambar/video untuk keperluan konten3. Mengaplikasikan teknik editing profesional termasuk color grading, efek visual, dan animasi.4. Memastikan semua konten sesuai dengan standar kualitas dan branding yang telah ditentukan.5. Berkolaborasi dengan tim kreatif untuk menghasilkan konten yang menarik dan berkualitas tinggi.Syarat dan Kriteria:Berpengalaman dalam bidang content creator minimal 2 tahunMampu menguasai copywriting dan editing video dan gambarMengikuti tren social media masa kini (Tiktok , IG reels , FB , shopee video , youtube)Harus bisa bekerja dengan cepat untuk mengejar tayang.Siap bekerja di bawah tekanan dan tenggat waktu yang ketat.Memahami algoritma YouTube dan memiliki ide-ide inovatif untuk meningkatkan performa video.Lihat Lebih Sedikit",https://glints.com/id/opportunities/jobs/creative-content-creator/5cca9377-036b-46da-8291-1c37eb0424b2?utm_referrer=explore&traceInfo=7e5ad652-528f-4b69-8df2-3af70c4e066e,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ba4ad2b1f901db1c10df0606c94c010d.jpg
