title,company,category,status,min_edu,min_exp,description,url
Management Trainee,PT GERAKAN DIGITAL INDONESIA,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Management Trainee at PT GERAKAN DIGITAL INDONESIARequirements / Kualifikasi :

Diutamakan Laki - Laki Lulusan terbaru dengan gelar Sarjana / Magister dari semua jurusan, dengan IPK minimal 3,50.Memiliki 1 tahun pengalaman diutamakan.Mahir menggunakan Microsoft Office (Word, Excel, PowerPoint).Memiliki keinginan untuk mengambil peran manajerial di masa depan, memiliki keterampilan kepemimpinan, berpikir analitis yang baik, dan keterampilan pemecahan masalah.Memiliki kemauan untuk mempelajari hal-hal baru.Deskripsi:Berpartisipasi dalam program pelatihan terstruktur yang mencakup berbagai aspek bisnis perusahaan.Berputar melalui berbagai departemen untuk mendapatkan pemahaman luas tentang fungsi perusahaan.Bekerja pada proyek nyata yang berkontribusi pada perusahaan.Bekerja sama dengan anggota tim dan manajemen untuk mencapai tujuan perusahaan.Menyusun laporan dan presentasi tentang temuan dan kemajuan Anda.Mengembangkan keterampilan kepemimpinan dan pemecahan masalah.Read Less",https://glints.com/id/en/opportunities/jobs/management-trainee/1828902c-b510-4c0b-b912-e943711b175e?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Ecommerce Shop Operator,BAITUBE MEDIA SEA,Operations,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Ecommerce Shop Operator at BAITUBE MEDIA SEADeskripsi Pekerjaan:Mengelola toko online di platform seperti Shopee, TikTok Shop, dan lainnya.Memproses pesanan, termasuk pengemasan dan pengiriman.Menjawab pertanyaan pelanggan dan menangani keluhan.Mengunggah produk dan memastikan stok selalu diperbarui.Mengatur promosi, diskon, dan voucher untuk meningkatkan penjualan.Membuat laporan penjualan dan inventaris.Kualifikasi:Berpengalaman di bidang e-commerce (diutamakan).Familiar dengan fitur dan sistem Shopee/TikTok Shop.Teliti, multitasking, dan memiliki manajemen waktu yang baik.Komunikasi yang ramah dan profesional.Read Less",https://glints.com/id/en/opportunities/jobs/ecommerce-shop-operator/b270054c-4ab1-4691-bda2-a954d92afbb4?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
KOORDINATOR OPERASIONAL,Pink Rabbit Lens,Operations,Contract · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for KOORDINATOR OPERASIONAL at Pink Rabbit LensKualifikasi:- Pendidikan minimal S1 dengan pengalaman 1–3 tahun di posisi serupa (lebih disukai pengalaman di e-commerce & warehouse).  - Paham sistem manajemen gudang (WMS) & marketplace.  - Kemampuan memimpin, menganalisis masalah, dan bekerja multitasking.  - Teliti, detail, komunikatif, dan mampu bekerja di bawah tekanan.  - Proaktif, sabar, dan profesional, terutama dalam menghadapi pelanggan.  Jobdesk:- Mmeastikan data stok sesuai antara sistem, gudang, dan e-commerce.  - Menyusun laporan dan update konten di e-commerce (promosi, deskripsi, dll.).  - Memantau pesanan, koordinasi pengiriman tepat waktu, dan proses retur sesuai kebijakan.  - Menangani kendala terkait pemesanan, pengiriman, atau produk.  - Mengelola katalog produk online agar informasi selalu akurat dan terkini.- Mengembangkan Prosedur Operasi Standar (SOP).- Menangani masalah operasi dan menyelesaikannya.- Membangun dan melacak metrik operasi harian dan dashboard.- Mencari cara untuk meningkatkan efisiensi proses.- Meneliti teknologi baru dan metode alternatif efisiensi.- Mengembangkan solusi praktis untuk meningkatkan kepuasan klien dengan penyampaian layanan dan memastikan kelancaran operasi internal.- Mengelola anggaran dan biaya secara efektif.Read Less",https://glints.com/id/en/opportunities/jobs/koordinator-operasional/a1330fcf-3add-4459-9716-fb1e539f42ce?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Admin Ecommerce / Admin Marketplace / Sales Online,PT Distributor Gadget Indonesia,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Admin Ecommerce / Admin Marketplace / Sales Online at PT Distributor Gadget IndonesiaUNTUK MELAMAR WAJIB MENGISI FORM DI LINK : bit.ly/ecommercedgiDESKRIPSI PEKERJAANMengelola akun toko di E-Commerce (upload, update stock & harga, marketplace ads, dll)Membuat strategi agar toko di marketplace / E-Commerce (tokopedia, bukalapak, shopee, dsb) bisa mencapai target penjualanMengoptimalisasi iklan di e-commerce khususnya top ads... Menjalankan jobdesc lain sesuai dengan ruang lingkup posisi tersebut.KUALIFIKASIBERPENGALAMAN min. 2 Tahun handle marketing Marketplace / EcommercePaham Produk LAPTOP/Handphone/APPLEFAST RESPONSE dari jam 07:00 - 00:00, atau tidak bisa lepas dari gadget, selalu aktif menjawab pertanyaan customer dan selalu bisa dihubungiPaham Strategi Marketing di Marketplace atau MarketplaceMenyukai Dunia Gadget, Sales & Jualan OnlineBisa bekerja dengan TARGET dan BEKERJA DILUAR JAM KERJA untuk mengejar TARGET.JAM KERJASenin - Jumat: 08:30 - 18:00Sabtu & Hari Besar: 08:30 - 17:00Khusus Tanggal libur nasional jika Masuk Kerja Dapat tambahan Cuti (Kecuali Idul Fitri, Idul Adha, Tahun Baru, Imlek).LOKASI KERJAJl. Moh Mansyur, Gambir, Jakarta Pusat (Suasana kerja santai, tidak formal).FASILITAS TAMBAHANUang LemburBonus berdasarkan Performa KerjaLaptop & HP (Inventaris Kantor)BPJS Kesehatan (Setelah lolos masa percobaan)Refreshing bersama bulanan (team bonding)Cuti 12+11 (masuk hari besar) = 23 hari kerja per tahun (setelah masa kerja 1 tahun.Liat keseruan tim PT DGICek Instagram: @lifeatdgi.Kirimkan CV ke email : hrd[at]ptdgi. co.idRead Less",https://glints.com/id/en/opportunities/jobs/admin-ecommerce-admin-marketplace-sales-online/77842200-4b70-4f56-8f42-42941697db37?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Dispatcher Coordinator Intern,Sejasa.com,Operations,Internship · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Dispatcher Coordinator Intern at Sejasa.comYou will get to experience﻿﻿Answering questions about company's services﻿﻿Organizing job flow with vendor and customer﻿﻿Comunicating and handling any administrative issues related to vendor and customerRequirements﻿﻿Fresh graduates from any major﻿﻿Able to use Google Sheet﻿﻿Fast learner and attention to detailAvailable for weekend and out-of-office hours (rotation) Read Less",https://glints.com/id/en/opportunities/jobs/dispatcher-coordinator-intern/658ce392-66b0-494d-9458-307572464101?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Kuli Bangunan,PT Sanwamas Metal Industry,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Kuli Bangunan at PT Sanwamas Metal IndustryMelakukan pemeliharaan dan pemeriksaan terhadap bangunan.Memasang batu bata, batu, dan bahan bangunan lainnya untuk membentuk struktur bangunan.Membongkar struktur bangunan yang sudah tidak diperlukan.Melakukan pemasangan keramik, keramik lantai, dan ubin di dalam bangunan.Memasang dan merawat pipa dan sistem saluran air.Melakukan pekerjaan cat dan finishing untuk bangunan.Read Less",https://glints.com/id/en/opportunities/jobs/kuli-bangunan/d370b88b-d1bc-4673-99b3-884fd7a6a1a3?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Staff General Affair (Penempatan Malang),Craun Dental Solution,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Staff General Affair (Penempatan Malang) at Craun Dental SolutionJob Desc :Menjaga dan memastikan semua fasilitas perusahaan dalam kondisi baik dan berfungsi dengan baik (misalnya: gedung, ruang kantor, alat-alat kantor, dan fasilitas lainnya).Mengatur pemeliharaan rutin, perbaikan, dan perawatan fasilitas.Mengelola pemakaian energi dan sumber daya di area kantor (listrik, air, internet, dsb) agar lebih efisien.Memastikan bahwa kebersihan dan keamanan lingkungan kantor dijaga dengan baik.Berkoordinasi dengan petugas kebersihan dan keamanan untuk memastikan kantor tetap rapi, bersih, dan aman dari potensi bahaya.Berkoordinasi dengan vendor atau pihak ketiga terkait untuk kebutuhan operasional dan maintenance building.Melakukan pengecekan dan evaluasi terhadap layanan yang disediakan oleh vendor.Kualifikasi :Pria, maks 27 tahunPendidikan S1 jurusan Teknik Elektro atau Teknik SipilBerpengalaman min. 1 tahun diprioritaskanMemiliki kendaraan pribadi (bersedia mobile)Komunikatif, mampu bekerja sama dalam timDetail, jujur, dan pandai bernegosiasiPenempatan MalangRead Less",https://glints.com/id/en/opportunities/jobs/staff-general-affair-penempatan-malang/e7c3dc5a-45a0-4709-a98b-e88210fcbbe3?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Staff Operasional (Penempatan Malang),Craun Dental Solution,Operations,Full-Time · On-site,Minimum Bachelor’s Degree,3 - 5 years of experience,"Job description for Staff Operasional (Penempatan Malang) at Craun Dental SolutionJob Desc :Menjaga dan memastikan semua fasilitas perusahaan dalam kondisi baik dan berfungsi dengan baik (misalnya: gedung, ruang kantor, alat-alat kantor, dan fasilitas lainnya).Mengatur pemeliharaan rutin, perbaikan, dan perawatan fasilitas.Mengelola pemakaian energi dan sumber daya di area kantor (listrik, air, internet, dsb) agar lebih efisien.Memastikan bahwa kebersihan dan keamanan lingkungan kantor dijaga dengan baik.Berkoordinasi dengan petugas kebersihan dan keamanan untuk memastikan kantor tetap rapi, bersih, dan aman dari potensi bahaya.Berkoordinasi dengan vendor atau pihak ketiga terkait untuk kebutuhan operasional dan maintenance building.Melakukan pengecekan dan evaluasi terhadap layanan yang disediakan oleh vendor.Kualifikasi :Pria, maks 27 tahunPendidikan S1 jurusan Teknik Elektro atau Teknik SipilBerpengalaman min. 1 tahun diprioritaskanMemiliki kendaraan pribadi (bersedia mobile)Komunikatif, mampu bekerja sama dalam timDetail, jujur, dan pandai bernegosiasiPenempatan MalangRead Less",https://glints.com/id/en/opportunities/jobs/staff-operasional-penempatan-malang/05fb731d-4a88-4319-8c22-9d33f6ca556a?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Field Ops Intern,Flokq,Operations,Internship · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Field Ops Intern at FlokqFlokq started with an idea to make people feel at home in a city with overwhelming opportunities, ever-reducing space, and increasing isolation. We began our journey with a three-pronged approach - affordable and convenient housing, the ability to connect with like-minded people and fixing a city’s housing problems.As a young start up in the prop-tech space, we’ve grown many folds over the last few months and achieved significant milestones. We also raised funding from prominent angels and other strategic investors! All thanks to a small, closely knit team who strives to be better, rolling up their sleeves to solve this large problem everydayJob Overview:A smooth execution in Operations is meant to set growing a successful business and good customer experience. We are looking for an Field Ops Specialist who will help execute the project in the field and report directly to the internal teams. You will be responsible for accompanying customers to visit the premises and move into the premises and also meeting with our business partners to deliver the final outcome from internal teams.Responsibilities:Work with the Operations team, gather the complete information, and coordinate accordingly to execute tasks in the field Mobilize within the Jakarta area to supervise escalation, move-ins, move-outs process, and manage supplies or essentials needIdentify errors in the field and suggest improvements in the teamSite visit to do general inspection (with move-in checklist provided by the team)Gather and measure customers demand or needs and inform internal team accordinglyAssist customers for a viewing and report to Sales teamMeet the landlord and customers to do a handoverRequirements:Fresh graduates from University or Vocational High School are preferred You love meeting new people, and are passionate about property businessA desire to work in a faced paced environmentAble to mobilize within Jakarta CityHigh capable to work independently as well as a part of team and possess a good teamwork attitudeHave a good communication skill in English and IndonesianFluent in English both oral and written Having personal vehicle is preferable6 - 8 months commitmentWorking Days:You will be working 5 days in a weekYou will have 2 days off Read Less",https://glints.com/id/en/opportunities/jobs/field-ops-intern/7e33ceff-7660-435e-ba49-b4db03081e1d?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Koordinator Lapangan,PT. JPT Adit Jaya Mandiri,Operations,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Koordinator Lapangan at PT. JPT Adit Jaya Mandiri1. Melakukan evaluasi durasi supir terhadap target angkutan harian , mingguan dan bulanan.2. Pembinaan terhadap supir dan memastikan operasional berjalan lancar.3. Monitoring kelengkapan dan percepatan perbaikan unit.4. Menindak lanjuti laporan insiden dan berkoordinasi dengan pihak ketiga.5. Memastikan muatan tiba ditempat tujuan tepat waktu.Read Less",https://glints.com/id/en/opportunities/jobs/koordinator-lapangan/ddbbe50d-c2d2-45a1-9d0d-21adad8263fe?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Area Control Surabaya,Geprek Gold Chick,Operations,Contract · Hybrid,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Area Control Surabaya at Geprek Gold ChickQualification : - Min pendidikan SMA/SMK- Berpengalaman dibidang F&B >3 tahun khususnya pernah menjadi kepala toko- Menguasai operasional outlet - Mampu memimpin tim dan memiliki analisa yang baik- Memahami inventori dan administrasi outlet - Menguasai Ms Office - Berpengalaman di fried chicken menjadi nilai tambah  Jobdesk : - Memperhatikan seluruh kinerja karyawan untuk bekerja sesuai SOP - Memastikan grooming karyawan sesuai SOP - Mendisiplinkan karyawan yang tidak bekerja sesuai SOP - Melakukan pendataan dan pemantauan terhadap ketersediaan bahan baku- Memastikan standar kualitas terpenuhi dalam semua aspek persiapan makanan dan minuman- Memastikan standar pelayanan pelanggan terpenuhi dan menjaga kepuasan pelanggan.- Membuat laporan terkait kondisi dan situasi seluruh outlet yang menjadi areanya (kebersihan, SDM, kualitas produk, & penanganan keluhan pelanggan) - Melakukan pelatihan reguler untuk staf F&B tentang prosedur operasional standar, keamanan makanan, dan pelayanan pelanggan.Read Less",https://glints.com/id/en/opportunities/jobs/area-control-surabaya/89739a32-cc59-44cc-ad9e-78a784f7d902?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
GA Assistant Supervisor,PT Langgeng Buana Jaya,Operations,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for GA Assistant Supervisor at PT Langgeng Buana JayaJob Requirements:A bachelor's degree in any field. At least 2 years experienced in related field. Having experience in Manufacturing Factory is a plus.Having K3 (Firefighting, etc) Certificate.Able to speak English is a must.Monitor and maintain office supplies, equipment, and facilities to ensure smooth operations.Has excellent customer service skills and be able to handle difficult situations with calmness and professionalism.Has strong leadership skills to manage and motivate the teamJob Description :1. Responsible for hiring, training, and supervising a team of GA representativesMust be able to handle guest complaints and resolve issues in a professional and efficient mannerResponsible for providing ongoing training and development opportunities to their team to improve their skills and knowledgeResponsible for ensuring that company facilities are clean, safe, and well-maintained.Manage the budget and schedule for the GA team, ensuring that staffing levels are appropriate to meet demandRead Less",https://glints.com/id/en/opportunities/jobs/ga-assistant-supervisor/2e3b2bc5-0967-4dd1-9f7c-c1aa8968ec83?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
Project Operation,Pt. Star Speedy Growth,Operations,Contract · On-site,Minimum Associate Degree,Less than a year of experience,"Job description for Project Operation at Pt. Star Speedy GrowthRequirements:- Must fluent in English (Spoken and written)- Having no experience are welcome- Strong interest in influencer marketing, digital media, and live streaming- Excellent communication skills, both written and verbal- Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint)- Familiar with social media platforms and live streaming- Enthusiastic, self-motivated, and eager to learn Responsibilities:- Assist in the identification and research of potential Key Opinion Leaders (KOLs) in the industry- Support the development and implementation of KOL engagement strategies- Coordinate outreach and communication with KOLs through various channels (email, social media, etc.)- Assist in the negotiation and management of contracts or agreements with KOLs- Stay up-to-date with industry trends, competitor activities, and best practices in KOL marketing- Responsible to maintain and manage the operation for live streaming day to day in Tiktok- Explore new campaign strategies and models, plan and launch live streaming campaignsRead Less",https://glints.com/id/en/opportunities/jobs/project-operation/b0903dfd-d41b-4b08-bb5a-ab2f19c8b1fb?utm_referrer=explore&traceInfo=ed9ac14f-c2a4-417d-9190-15f4ecf09804
